ADDRESS,ADDRESSLINE1,ADDRESSLINE2,CITY,City_State,CONTACTFIRSTNAME,CONTACTLASTNAME,CONTACTNAME,COUNTRY,CUSTOMERNAME,DEALSIZE,MONTH,MONTH_ID,ORDERDATE,PHONE,POSTALCODE,PRODUCTCODE,PRODUCTLINE,QTR_ID,STATE,STATUS,TERRITORY,YEAR_ID,MSRP,ORDERLINENUMBER,ORDERNUMBER,PRICEEACH,QUANTITYORDERED,SALES
2678 Kingston Rd. Suite 101 NYC NY 10022 USA,2678 Kingston Rd.,Suite 101,NYC,NYC NY,Michael,Frick,Michael Frick,USA,Vitachrome Inc.,Small,April,4,05-04-2004 00:00:00,2125551500,10022,S10_1678,Motorcycles,2,NY,Shipped,NA,2004,95,7,10237,100,23,2333.12
7476 Moss Rd.  Newark NJ 94019 USA,7476 Moss Rd.,,Newark,Newark NJ,William,Brown,William Brown,USA,Tekni Collectables Inc.,Medium,May,5,18-05-2004 00:00:00,2015559350,94019,S10_1678,Motorcycles,2,NJ,Shipped,NA,2004,95,2,10251,100,28,3188.64
25593 South Bay Ln.  Bridgewater CT 97562 USA,25593 South Bay Ln.,,Bridgewater,Bridgewater CT,Julie,King,Julie King,USA,Gift Depot Inc.,Medium,June,6,28-06-2004 00:00:00,2035552570,97562,S10_1678,Motorcycles,2,CT,Shipped,NA,2004,95,2,10263,100,34,3676.76
"67, rue des Cinquante Otages  Nantes  44000 France","67, rue des Cinquante Otages",,Nantes,Nantes ,Janine,Labrune,Janine Labrune,France,La Rochelle Gifts,Medium,July,7,23-07-2004 00:00:00,40.67.8555,44000,S10_1678,Motorcycles,3,,Shipped,EMEA,2004,95,1,10275,92.83,45,4177.35
39323 Spinnaker Dr.  Cambridge MA 51247 USA,39323 Spinnaker Dr.,,Cambridge,Cambridge MA,Marta,Hernandez,Marta Hernandez,USA,Marta's Replicas Co.,Medium,August,8,27-08-2004 00:00:00,6175558555,51247,S10_1678,Motorcycles,3,MA,Shipped,NA,2004,95,6,10285,100,36,4099.68
Keskuskatu 45  Helsinki  21240 Finland,Keskuskatu 45,,Helsinki,Helsinki ,Matti,Karttunen,Matti Karttunen,Finland,"Toys of Finland, Co.",Small,September,9,30-09-2004 00:00:00,90-224 8555,21240,S10_1678,Motorcycles,3,,Shipped,EMEA,2004,95,9,10299,100,23,2597.39
Erling Skakkes gate 78  Stavern  4110 Norway,Erling Skakkes gate 78,,Stavern,Stavern ,Jonas,Bergulfsen,Jonas Bergulfsen,Norway,Baane Mini Imports,Medium,October,10,15-10-2004 00:00:00,07-98 9555,4110,S10_1678,Motorcycles,4,,Shipped,EMEA,2004,95,5,10309,100,41,4394.38
7586 Pompton St.  Allentown PA 70267 USA,7586 Pompton St.,,Allentown,Allentown PA,Kyung,Yu,Kyung Yu,USA,Diecast Classics Inc.,Medium,November,11,02-11-2004 00:00:00,2155551555,70267,S10_1678,Motorcycles,4,PA,Shipped,NA,2004,95,1,10318,94.74,46,4358.04
897 Long Airport Avenue  NYC NY 10022 USA,897 Long Airport Avenue,,NYC,NYC NY,Kwai,Yu,Kwai Yu,USA,Land of Toys Inc.,Medium,November,11,15-11-2004 00:00:00,2125557818,10022,S10_1678,Motorcycles,4,NY,Shipped,NA,2004,95,1,10329,100,42,4396.14
Geislweg 14  Salzburg  5020 Austria,Geislweg 14,,Salzburg,Salzburg ,Georg,Pipps,Georg Pipps,Austria,Salzburg Collectables,Large,November,11,24-11-2004 00:00:00,6562-9555,5020,S10_1678,Motorcycles,4,,Shipped,EMEA,2004,95,9,10341,100,41,7737.93
"Monitor Money Building, 815 Pacific Hwy Level 6 Chatswood NSW 2067 Australia","Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Chatswood NSW,Adrian,Huxley,Adrian Huxley,Australia,Souveniers And Things Co.,Small,December,12,17-12-2004 00:00:00,+61 2 9495 8555,2067,S10_1678,Motorcycles,4,NSW,Shipped,APAC,2004,95,13,10361,72.55,20,1451
"67, rue des Cinquante Otages  Nantes  44000 France","67, rue des Cinquante Otages",,Nantes,Nantes ,Janine,Labrune,Janine Labrune,France,La Rochelle Gifts,Small,February,2,03-02-2005 00:00:00,40.67.8555,44000,S10_1678,Motorcycles,1,,Shipped,EMEA,2005,95,12,10375,34.91,21,733.11
1785 First Street  New Bedford MA 50553 USA,1785 First Street,,New Bedford,New Bedford MA,Violeta,Benitez,Violeta Benitez,USA,FunGiftIdeas.com,Medium,March,3,03-03-2005 00:00:00,5085552555,50553,S10_1678,Motorcycles,1,MA,Shipped,NA,2005,95,4,10388,76.36,42,3207.12
Berkeley Gardens 12  Brewery  Liverpool  WX1 6LT UK,Berkeley Gardens 12  Brewery,,Liverpool,Liverpool ,Elizabeth,Devon,Elizabeth Devon,UK,"UK Collectables, Ltd.",Small,April,4,08-04-2005 00:00:00,(171) 555-2282,WX1 6LT,S10_1678,Motorcycles,2,,Shipped,EMEA,2005,95,7,10403,100,24,2434.56
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Large,May,5,13-05-2005 00:00:00,(91) 555 94 44,28034,S10_1678,Motorcycles,2,,Disputed,EMEA,2005,95,2,10417,100,66,7516.08
Erling Skakkes gate 78  Stavern  4110 Norway,Erling Skakkes gate 78,,Stavern,Stavern ,Jonas,Bergulfsen,Jonas Bergulfsen,Norway,Baane Mini Imports,Medium,January,1,29-01-2003 00:00:00,07-98 9555,4110,S10_1949,Classic Cars,1,,Shipped,EMEA,2003,214,11,10103,100,26,5404.62
Berguvsv„gen  8  Lule  S-958 22 Sweden,Berguvsv„gen  8,,Lule,Lule ,Christina,Berglund,Christina Berglund,Sweden,"Volvo Model Replicas, Co",Large,March,3,24-03-2003 00:00:00,0921-12 3555,S-958 22,S10_1949,Classic Cars,1,,Shipped,EMEA,2003,214,1,10112,100,29,7209.11
"C/ Araquil, 67  Madrid  28023 Spain","C/ Araquil, 67",,Madrid,Madrid ,Mart¡n,Sommer,Mart¡n Sommer,Spain,"Corrida Auto Replicas, Ltd",Large,May,5,28-05-2003 00:00:00,(91) 555 22 82,28023,S10_1949,Classic Cars,2,,Shipped,EMEA,2003,214,11,10126,100,38,7329.06
9408 Furth Circle  Burlingame CA 94217 USA,9408 Furth Circle,,Burlingame,Burlingame CA,Juri,Hirano,Juri Hirano,USA,Technics Stores Inc.,Large,July,7,24-07-2003 00:00:00,6505556809,94217,S10_1949,Classic Cars,3,CA,Shipped,NA,2003,214,11,10140,100,37,7374.1
"Bronz Sok., Bronz Apt. 3/6 Tesvikiye  Singapore  79903 Singapore","Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,Singapore ,Eric,Natividad,Eric Natividad,Singapore,"Dragon Souveniers, Ltd.",Large,September,9,19-09-2003 00:00:00,+65 221 7555,79903,S10_1949,Classic Cars,3,,Shipped,Japan,2003,214,8,10150,100,45,10993.5
5905 Pompton St. Suite 750 NYC NY 10022 USA,5905 Pompton St.,Suite 750,NYC,NYC NY,Maria,Hernandez,Maria Hernandez,USA,Classic Legends Inc.,Medium,October,10,20-10-2003 00:00:00,2125558493,10022,S10_1949,Classic Cars,4,NY,Shipped,NA,2003,214,1,10163,100,21,4860.24
31 Duncan St. West End  South Brisbane Queensland 4101 Australia,31 Duncan St. West End,,South Brisbane,South Brisbane Queensland,Tony,Calaghan,Tony Calaghan,Australia,"Australian Gift Network, Co",Large,November,11,06-11-2003 00:00:00,61-7-3844-6555,4101,S10_1949,Classic Cars,4,Queensland,Shipped,APAC,2003,214,4,10174,100,34,8014.82
782 First Street  Philadelphia PA 71270 USA,782 First Street,,Philadelphia,Philadelphia PA,Francisca,Cervantes,Francisca Cervantes,USA,"Classic Gift Ideas, Inc",Medium,November,11,13-11-2003 00:00:00,2155554695,71270,S10_1949,Classic Cars,4,PA,Shipped,NA,2003,214,8,10183,100,23,5372.57
"2, rue du Commerce  Lyon  69004 France","2, rue du Commerce",,Lyon,Lyon ,Mary,Saveley,Mary Saveley,France,"Saveley & Henriot, Co.",Large,November,11,25-11-2003 00:00:00,78.32.5555,69004,S10_1949,Classic Cars,4,,Shipped,EMEA,2003,214,11,10194,100,42,7290.36
1900 Oak St.  Vancouver BC V3F 2K1 Canada,1900 Oak St.,,Vancouver,Vancouver BC,Yoshi,Tannamuri,Yoshi Tannamuri,Canada,Canadian Gift Exchange Network,Large,December,12,05-12-2003 00:00:00,(604) 555-3392,V3F 2K1,S10_1949,Classic Cars,4,BC,Shipped,NA,2003,214,6,10206,100,47,9064.89
3675 Furth Circle  Burbank CA 94019 USA,3675 Furth Circle,,Burbank,Burbank CA,Steve,Thompson,Steve Thompson,USA,West Coast Collectables Co.,Medium,January,1,29-01-2004 00:00:00,3105553722,94019,S10_1949,Classic Cars,1,CA,Shipped,NA,2004,214,3,10215,100,35,6075.3
4658 Baden Av.  Cambridge MA 51247 USA,4658 Baden Av.,,Cambridge,Cambridge MA,Kyung,Tseng,Kyung Tseng,USA,Cambridge Collectables Co.,Medium,March,3,10-03-2004 00:00:00,6175555555,51247,S10_1949,Classic Cars,1,MA,Shipped,NA,2004,214,2,10228,100,29,6463.23
567 North Pendale Street  New Haven CT 97823 USA,567 North Pendale Street,,New Haven,New Haven CT,Leslie,Murphy,Leslie Murphy,USA,Super Scale Inc.,Medium,May,5,04-05-2004 00:00:00,2035559545,97823,S10_1949,Classic Cars,2,CT,Shipped,NA,2004,214,9,10245,100,34,6120.34
2-2-8 Roppongi  Minato-ku Tokyo 106-0032 Japan,2-2-8 Roppongi,,Minato-ku,Minato-ku Tokyo,Akiko,Shimamura,Akiko Shimamura,Japan,"Tokyo Collectables, Ltd",Large,June,6,15-06-2004 00:00:00,+81 3 3584 0555,106-0032,S10_1949,Classic Cars,2,Tokyo,Shipped,Japan,2004,214,6,10258,100,32,7680.64
"Monitor Money Building, 815 Pacific Hwy Level 6 Chatswood NSW 2067 Australia","Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Chatswood NSW,Adrian,Huxley,Adrian Huxley,Australia,Souveniers And Things Co.,Medium,July,7,19-07-2004 00:00:00,+61 2 9495 8555,2067,S10_1949,Classic Cars,3,NSW,Shipped,APAC,2004,214,9,10270,100,21,4905.39
Via Monte Bianco 34  Torino  10100 Italy,Via Monte Bianco 34,,Torino,Torino ,Paolo,Accorti,Paolo Accorti,Italy,Amica Models & Co.,Large,August,8,17-08-2004 00:00:00,011-4988555,10100,S10_1949,Classic Cars,3,,Shipped,EMEA,2004,214,2,10280,100,34,8014.82
?kergatan 24  Boras  S-844 67 Sweden,?kergatan 24,,Boras,Boras ,Maria,Larsson,Maria Larsson,Sweden,Scandinavian Gift Ideas,Large,September,9,08-09-2004 00:00:00,0695-34 6555,S-844 67,S10_1949,Classic Cars,3,,Shipped,EMEA,2004,214,11,10291,100,37,7136.19
"67, avenue de l'Europe  Versailles  78000 France","67, avenue de l'Europe",,Versailles,Versailles ,Daniel,Tonini,Daniel Tonini,France,Auto Assoc. & Cie.,Large,October,10,11-10-2004 00:00:00,30.59.8555,78000,S10_1949,Classic Cars,4,,Shipped,EMEA,2004,214,6,10304,100,47,10172.7
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Large,October,10,21-10-2004 00:00:00,4155551450,97562,S10_1949,Classic Cars,4,CA,Shipped,NA,2004,214,3,10312,100,48,11623.7
2304 Long Airport Avenue  Nashua NH 62005 USA,2304 Long Airport Avenue,,Nashua,Nashua NH,Valarie,Young,Valarie Young,USA,Online Diecast Creations Co.,Medium,November,11,04-11-2004 00:00:00,6035558647,62005,S10_1949,Classic Cars,4,NH,Shipped,NA,2004,214,1,10322,100,40,6000.4
5557 North Pendale Street  San Francisco CA  USA,5557 North Pendale Street,,San Francisco,San Francisco CA,Julie,Murphy,Julie Murphy,USA,Mini Wheels Co.,Medium,November,11,18-11-2004 00:00:00,6505555787,,S10_1949,Classic Cars,4,CA,Shipped,NA,2004,214,3,10333,100,26,3003
636 St Kilda Road Level 3 Melbourne Victoria 3004 Australia,636 St Kilda Road,Level 3,Melbourne,Melbourne Victoria,Peter,Ferguson,Peter Ferguson,Australia,"Australian Collectors, Co.",Medium,November,11,29-11-2004 00:00:00,03 9520 4555,3004,S10_1949,Classic Cars,4,Victoria,Shipped,APAC,2004,214,1,10347,100,30,3944.7
5677 Strong St.  San Rafael CA 97562 USA,5677 Strong St.,,San Rafael,San Rafael CA,Valarie,Nelson,Valarie Nelson,USA,Mini Gifts Distributors Ltd.,Medium,December,12,10-12-2004 00:00:00,4155551450,97562,S10_1949,Classic Cars,4,CA,Shipped,NA,2004,214,10,10357,100,32,5691.84
7825 Douglas Av.  Brickhaven MA 58339 USA,7825 Douglas Av.,,Brickhaven,Brickhaven MA,Allen,Nelson,Allen Nelson,USA,Collectables For Less Inc.,Medium,January,1,20-01-2005 00:00:00,6175558555,58339,S10_1949,Classic Cars,1,MA,Shipped,NA,2005,214,2,10369,100,41,4514.92
7734 Strong St.  San Francisco CA  USA,7734 Strong St.,,San Francisco,San Francisco CA,Julie,Brown,Julie Brown,USA,Corporate Gift Ideas Co.,Large,February,2,17-02-2005 00:00:00,6505551386,,S10_1949,Classic Cars,1,CA,Shipped,NA,2005,214,3,10381,100,36,8254.8
201 Miller Street Level 15 North Sydney NSW 2060 Australia,201 Miller Street,Level 15,North Sydney,North Sydney NSW,Anna,O'Hara,Anna O'Hara,Australia,"Anna's Decorations, Ltd",Small,March,3,09-03-2005 00:00:00,02 9936 8555,2060,S10_1949,Classic Cars,1,NSW,Shipped,APAC,2005,214,4,10391,100,24,2416.56
43 rue St. Laurent  Montreal Quebec H1J 1C3 Canada,43 rue St. Laurent,,Montreal,Montreal Quebec,Jean,Fresnisre,Jean Fresnisre,Canada,Quebec Home Shopping Network,Medium,May,5,01-05-2005 00:00:00,(514) 555-8054,H1J 1C3,S10_1949,Classic Cars,2,Quebec,Shipped,NA,2005,214,9,10411,100,23,4140.23
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Large,May,5,31-05-2005 00:00:00,(91) 555 94 44,28034,S10_1949,Classic Cars,2,,In Process,EMEA,2005,214,6,10424,100,50,12001
897 Long Airport Avenue  NYC NY 10022 USA,897 Long Airport Avenue,,NYC,NYC NY,Kwai,Yu,Kwai Yu,USA,Land of Toys Inc.,Medium,February,2,24-02-2003 00:00:00,2125557818,10022,S10_2016,Motorcycles,1,NY,Shipped,NA,2003,118,5,10107,99.91,39,3896.49
636 St Kilda Road Level 3 Melbourne Victoria 3004 Australia,636 St Kilda Road,Level 3,Melbourne,Melbourne Victoria,Peter,Ferguson,Peter Ferguson,Australia,"Australian Collectors, Co.",Small,April,4,29-04-2003 00:00:00,03 9520 4555,3004,S10_2016,Motorcycles,2,Victoria,Shipped,APAC,2003,118,3,10120,96.34,29,2793.86
27 rue du Colonel Pierre Avia  Paris  75508 France,27 rue du Colonel Pierre Avia,,Paris,Paris ,Daniel,Da Cunha,Daniel Da Cunha,France,Lyon Souveniers,Medium,July,7,01-07-2003 00:00:00,+33 1 46 62 7555,75508,S10_2016,Motorcycles,3,,Shipped,EMEA,2003,118,5,10134,100,27,3307.77
78934 Hillside Dr.  Pasadena CA 90003 USA,78934 Hillside Dr.,,Pasadena,Pasadena CA,Julie,Young,Julie Young,USA,Toys4GrownUps.com,Medium,August,8,25-08-2003 00:00:00,6265557265,90003,S10_2016,Motorcycles,3,CA,Shipped,NA,2003,118,9,10145,100,37,5192.95
7734 Strong St.  San Francisco CA  USA,7734 Strong St.,,San Francisco,San Francisco CA,Julie,Brown,Julie Brown,USA,Corporate Gift Ideas Co.,Medium,October,10,10-10-2003 00:00:00,6505551386,,S10_2016,Motorcycles,4,CA,Shipped,NA,2003,118,17,10159,100,37,5016.83
9408 Furth Circle  Burlingame CA 94217 USA,9408 Furth Circle,,Burlingame,Burlingame CA,Juri,Hirano,Juri Hirano,USA,Technics Stores Inc.,Medium,October,10,28-10-2003 00:00:00,6505556809,94217,S10_2016,Motorcycles,4,CA,Shipped,NA,2003,118,4,10168,100,27,3660.93
"184, chausse de Tournai  Lille  59000 France","184, chausse de Tournai",,Lille,Lille ,Martine,Rance,Martine Rance,France,Daedalus Designs Imports,Medium,November,11,11-11-2003 00:00:00,20.16.1555,59000,S10_2016,Motorcycles,4,,Shipped,EMEA,2003,118,12,10180,100,42,4695.6
"Drammen 121, PR 744 Sentrum  Bergen  N 5804 Norway","Drammen 121, PR 744 Sentrum",,Bergen,Bergen ,Veysel,Oeztan,Veysel Oeztan,Norway,Herkku Gifts,Medium,November,11,18-11-2003 00:00:00,+47 2267 3215,N 5804,S10_2016,Motorcycles,4,,Shipped,EMEA,2003,118,4,10188,96.34,38,3660.92
5557 North Pendale Street  San Francisco CA  USA,5557 North Pendale Street,,San Francisco,San Francisco CA,Julie,Murphy,Julie Murphy,USA,Mini Wheels Co.,Medium,December,12,01-12-2003 00:00:00,6505555787,,S10_2016,Motorcycles,4,CA,Shipped,NA,2003,118,5,10201,100,24,3025.92
"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku  Osaka Osaka 530-0003 Japan","Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka Osaka,Mory,Kentary,Mory Kentary,Japan,Osaka Souveniers Co.,Medium,January,1,12-01-2004 00:00:00,+81 06 6342 5555,530-0003,S10_2016,Motorcycles,1,Osaka,Shipped,Japan,2004,118,2,10210,100,23,3009.09
636 St Kilda Road Level 3 Melbourne Victoria 3004 Australia,636 St Kilda Road,Level 3,Melbourne,Melbourne Victoria,Peter,Ferguson,Peter Ferguson,Australia,"Australian Collectors, Co.",Medium,February,2,20-02-2004 00:00:00,03 9520 4555,3004,S10_2016,Motorcycles,1,Victoria,Shipped,APAC,2004,118,4,10223,100,47,5422.39
11328 Douglas Av.  Philadelphia PA 71270 USA,11328 Douglas Av.,,Philadelphia,Philadelphia PA,Rosa,Hernandez,Rosa Hernandez,USA,Motor Mint Distributors Inc.,Small,April,4,03-04-2004 00:00:00,2155559857,71270,S10_2016,Motorcycles,2,PA,Shipped,NA,2004,118,1,10236,100,22,2852.08
7476 Moss Rd.  Newark NJ 94019 USA,7476 Moss Rd.,,Newark,Newark NJ,William,Brown,William Brown,USA,Tekni Collectables Inc.,Medium,May,5,18-05-2004 00:00:00,2015559350,94019,S10_2016,Motorcycles,2,NJ,Shipped,NA,2004,118,5,10251,100,44,5756.52
25593 South Bay Ln.  Bridgewater CT 97562 USA,25593 South Bay Ln.,,Bridgewater,Bridgewater CT,Julie,King,Julie King,USA,Gift Depot Inc.,Medium,June,6,28-06-2004 00:00:00,2035552570,97562,S10_2016,Motorcycles,2,CT,Shipped,NA,2004,118,5,10263,100,40,4472
"67, rue des Cinquante Otages  Nantes  44000 France","67, rue des Cinquante Otages",,Nantes,Nantes ,Janine,Labrune,Janine Labrune,France,La Rochelle Gifts,Small,July,7,23-07-2004 00:00:00,40.67.8555,44000,S10_2016,Motorcycles,3,,Shipped,EMEA,2004,118,4,10275,100,22,2904.44
39323 Spinnaker Dr.  Cambridge MA 51247 USA,39323 Spinnaker Dr.,,Cambridge,Cambridge MA,Marta,Hernandez,Marta Hernandez,USA,Marta's Replicas Co.,Medium,August,8,27-08-2004 00:00:00,6175558555,51247,S10_2016,Motorcycles,3,MA,Shipped,NA,2004,118,9,10285,100,47,6484.59
"54, rue Royale  Nantes  44000 France","54, rue Royale",,Nantes,Nantes ,Carine,Schmitt,Carine Schmitt,France,Atelier graphique,Medium,September,9,27-09-2004 00:00:00,40.32.2555,44000,S10_2016,Motorcycles,3,,Shipped,EMEA,2004,118,1,10298,96.34,39,3757.26
3758 North Pendale Street  White Plains NY 24067 USA,3758 North Pendale Street,,White Plains,White Plains NY,Steve,Frick,Steve Frick,USA,Mini Classics,Medium,October,10,15-10-2004 00:00:00,9145554562,24067,S10_2016,Motorcycles,4,NY,Shipped,NA,2004,118,2,10308,100,34,4043.96
7586 Pompton St.  Allentown PA 70267 USA,7586 Pompton St.,,Allentown,Allentown PA,Kyung,Yu,Kyung Yu,USA,Diecast Classics Inc.,Medium,November,11,02-11-2004 00:00:00,2155551555,70267,S10_2016,Motorcycles,4,PA,Shipped,NA,2004,118,4,10318,100,45,5566.5
897 Long Airport Avenue  NYC NY 10022 USA,897 Long Airport Avenue,,NYC,NYC NY,Kwai,Yu,Kwai Yu,USA,Land of Toys Inc.,Medium,November,11,15-11-2004 00:00:00,2125557818,10022,S10_2016,Motorcycles,4,NY,Shipped,NA,2004,118,2,10329,100,20,3176
2-2-8 Roppongi  Minato-ku Tokyo 106-0032 Japan,2-2-8 Roppongi,,Minato-ku,Minato-ku Tokyo,Akiko,Shimamura,Akiko Shimamura,Japan,"Tokyo Collectables, Ltd",Small,November,11,23-11-2004 00:00:00,+81 3 3584 0555,106-0032,S10_2016,Motorcycles,4,Tokyo,Shipped,Japan,2004,118,4,10339,68.92,40,2756.8
"Monitor Money Building, 815 Pacific Hwy Level 6 Chatswood NSW 2067 Australia","Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,Chatswood NSW,Adrian,Huxley,Adrian Huxley,Australia,Souveniers And Things Co.,Small,December,12,17-12-2004 00:00:00,+61 2 9495 8555,2067,S10_2016,Motorcycles,4,NSW,Shipped,APAC,2004,118,8,10361,51.15,26,1329.9
31 Duncan St. West End  South Brisbane Queensland 4101 Australia,31 Duncan St. West End,,South Brisbane,South Brisbane Queensland,Tony,Calaghan,Tony Calaghan,Australia,"Australian Gift Network, Co",Medium,February,2,02-02-2005 00:00:00,61-7-3844-6555,4101,S10_2016,Motorcycles,1,Queensland,Shipped,APAC,2005,118,5,10374,100,39,5288.01
1785 First Street  New Bedford MA 50553 USA,1785 First Street,,New Bedford,New Bedford MA,Violeta,Benitez,Violeta Benitez,USA,FunGiftIdeas.com,Small,March,3,03-03-2005 00:00:00,5085552555,50553,S10_2016,Motorcycles,1,MA,Shipped,NA,2005,118,5,10388,44.51,50,2225.5
"25, rue Lauriston  Paris  75016 France","25, rue Lauriston",,Paris,Paris ,Dominique,Perrier,Dominique Perrier,France,Auto Canal Petit,Medium,April,4,07-04-2005 00:00:00,(1) 47.55.6555,75016,S10_2016,Motorcycles,2,,Shipped,EMEA,2005,118,1,10402,100,45,5833.8
"C/ Moralzarzal, 86  Madrid  28034 Spain","C/ Moralzarzal, 86",,Madrid,Madrid ,Diego,Freyre,Diego Freyre,Spain,Euro Shopping Channel,Medium,May,5,13-05-2005 00:00:00,(91) 555 94 44,28034,S10_2016,Motorcycles,2,,Disputed,EMEA,2005,118,5,10417,100,45,5887.35
897 Long Airport Avenue  NYC NY 10022 USA,897 Long Airport Avenue,,NYC,NYC NY,Kwai,Yu,Kwai Yu,USA,Land of Toys Inc.,Medium,February,2,24-02-2003 00:00:00,2125557818,10022,S10_4698,Motorcycles,1,NY,Shipped,NA,2003,193,4,10107,100,27,6065.55
636 St Kilda Road Level 3 Melbourne Victoria 3004 Australia,636 St Kilda Road,Level 3,Melbourne,Melbourne Victoria,Peter,Ferguson,Peter Ferguson,Australia,"Australian Collectors, Co.",Large,April,4,29-04-2003 00:00:00,03 9520 4555,3004,S10_4698,Motorcycles,2,Victoria,Shipped,APAC,2003,193,2,10120,100,46,9264.86
27 rue du Colonel Pierre Avia  Paris  75508 France,27 rue du Colonel Pierre Avia,,Paris,Paris ,Daniel,Da Cunha,Daniel Da Cunha,France,Lyon Souveniers,Large,July,7,01-07-2003 00:00:00,+33 1 46 62 7555,75508,S10_4698,Motorcycles,3,,Shipped,EMEA,2003,193,4,10134,100,31,7023.98
